Asset Planner ID,,,Screener and Approver,,,,,,,,,Asset Planner Data,,,,,,,,,,,,,,,Data Collection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Seismic Data,,,,,,,,,Outputs from FEMA and SQST Sheets,,2013 Seismic Screening Data,,,,,,,
ID,Facility/Asset,Address,Review Phase,Approver,Screener,Drawings,Desktop Review Date,Site Visit,Site Review Date,Ready for Approval?,Approved?,Building Name,Development Category Indicator,Custom: CoV Ownership Status,SAP Building Number,Date Built,Year Built,NBC Code Year (Original Building),Current Replacement Value (June 2026),Gross Size (sq.ft.) - from Asset Planner - June 2026,CRV/sq.ft.,Floors Above Grade,Floors Below Grade,Building: General Summary,Building: Architectural Summary,Building: Heritage,Year(s) of Major Renovation(s),Description of Major Renovation,Building: Main Superstructure Material,Vertical Load Bearing System,Roof System,Floor System,Seismic Force Resisting System in the North-South Direction,Seismic Force Resisting System in the East-West Direction,Number of LDRS Bays in North-South Direction,Number of LDRS Bays in East-West Direction,Seismic Upgrade Year,Description of Seismic Upgrade,Seismic Upgrading Case,Building Height (Total Height Above Ground (m) to Roof Slab),"""Original"" Building Importance Factor Ie",Building Importance Factor Ie - Based on VBBL 2025 - Upgraded,Occupancy Type,Service Group,Replacement Cost (June 2026 $$),At-risk Population: Y/N?,Site Class,Basement,Basement Floor Plan Area (sq.m.),Ground Floor Plan Area (sq.m.),Roof Plan Area (sq.m.),Geological Hazards,Significant Alterations or Deviations,Material Conditions,Sesimic Isolation / Energy Dissipation Systems,Separation / Distance from Adjacent Structures (mm),Pounding Type Input,Pounding Type,Vertical Irregularity Input,Vertical Irregularity Description,Plan Irregularity Input,Plan Irregularity Description,Building Irregularity,Falling Hazards (Y/N),Exterior Non-structural Components - Restrained (Y/N),Interior Non-structural Components - Restrained (Y/N),URM (Y/N),FEMA P154 Special Cases,Remaining Occupancy Time,Category Functionality Class,Gross Area (including basement) (sq.m.),Seismic Weight (kN),Snow Load and Roof Weight (kN),Floor Weight - Above Grade (kN),LDRS Weight North-South Direction (kN),LDRS Weight East-West Direction (kN),Content Weight Based on Occupancy Type (kN),FEMA P154 RVS Level 2 Screening S-Score,SEG Level 2 - SQST S-Score,Building: Collapse Likelihood,Building: Post Disaster Importance,Building: Occupancy,Building: Seismic Screening Data,Building: Seismic S Score,Building: Seismic Risk,Longitude,Latitude
472,PARK_1479_1425 Victoria Drive_Victoria Park - Washrooms,1425 Victoria Drive,,,,,,,,,,Victoria Park - Washrooms,2 - Moderate Investment,City Owned,1479,2007-01,2007,2005,"$56,937",325,175,1,0,The building was constructed circa 2007. The building is provided mainly with systems and components originating from the initial building construction.,"The single-storey building foundations are likely standard foundations bearing on good native firm soil. The slab on grade appears to be cast in place concrete continuously supported by native soil or engineered fill. The building is is likely a wood framed sloped roof structure supported by load bearing concrete masonry block walls.  

The roof covering includes asphalt shingle roofing. The exterior walls consist of stone veneer tiles finishes. The exterior windows are glass block units.  The exterior doors include hollow metal single doors. The interior partitions are painted concrete block. 

The interior doors are generally single wood doors set in matching wood frames. The interior floor finishes include sealed concrete finish. The interior ceiling finishes include painted gypsum board ceiling.",,,,Wood Framed,,,,,,,,,,,,,,,,#N/A,,,,,,,,,,,,,,,,,,Regular,,,,,,99,,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#VALUE!,,,Unknown,,10,Pre-Screen Low,-123.0674415,49.27176218
474,PARK_1469_3300 Victoria Drive_John Hendry Park - Little League Scorer's Building,3300 Victoria Drive,,,,,,,,,,John Hendry Park - Little League Scorer's Building,9 - CoV Not Responsible,City Owned,1469,1990-01,1990,1990,"$26,279",150,175,1,0,,,,,,Wood frame,,,,,,,,,,,,,,,,#N/A,,,,,,,,,,,,,,,,,,Regular,,,,,,99,,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#VALUE!,,,Unknown,,10,Pre-Screen Low,-123.0592047,49.25664586
479,PARK_4325_Stanley Park - Miniature Train Ticket Booth,Stanley Park - Miniature Train Ticket Booth,,,,,,,,,,,5 - No Investment,City Owned,4325,1970-01,1970,1970,"$26,279",150,175,1,0,Miniature Train Ticker Booth is understood to have been constructed circa 1970. The building is largely provided with systems and components originating from the initial building construction.,"The single-story building appears to be constructed on spread footings. Where exposed, the superstructure appears to be of wood framed construction.  No significant deficiencies were observed to suggest differential settlement of the building foundations or movement of the building structure.

The building exterior walls are generally comprised of vertical wood sidings on all building elevations. The building windows are plexiglas windows within wood frames. The exterior entrance doors are wood doors set in wood frames. The roof cover is a 2-ply modified bituminous roof assembly. Overall, the building envelope components appear to be in fair to good condition.

The interior finishes in the building include vinyl sheet flooring, painted wall assemblies, and painted ceiling assemblies. The interior finishes appear to be in good to fair condition overall.",,,,Wood Framed,,,,,,,,,,,,,,,,#N/A,,,,,,,,,,,,,,,,,,Regular,,,,,,99,,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#VALUE!,,,Unknown,,10,Pre-Screen Low,-123.1336996,49.30175488
480,PARK_1822_4150 Knight St_Kingcrest Park - Washroom,4150 Knight St,,,,,,,,,,Kingcrest Park - Washroom,3 - Limited Investment,City Owned,1822,2004-01,2004,1995,"$76,881",150,513,1,0,The building was constructed circa 2004. The building is provided mainly with systems and components originating from the initial building construction.,"The single-storey building foundation are likely standard foundations bearing on good native firm soil. The slab on grade appears to be cast in place concrete continuously supported by native soil or engineered fill.  The building is likely be a load bearing concrete masonry block units (CMU), and wood roof trusses/rafters suspended sloped roof structure. The roof covering includes EPDM roofing. The exterior walls consist of painted wood siding boards, and exterior coating finishes.  The exterior doors include hollow metal single doors . 

The interior partitions are painted concrete blocks.  The interior doors are generally single wood doors set in matching wood frames. The interior floor finishes include a sealed concrete finish. The interior ceiling finishes include painted gypsum board ceiling.",,,,Masonry Walls,,,,,,,,,,,,,,,,#N/A,,,,,,,,,,,,,,,,,,Regular,,,,,,99,,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#VALUE!,,,Unknown,,10,Pre-Screen Low,-123.0746264,49.24732487
481,PARK_4325_Stanley Park - Farmyard Animal Exhibit & concession (Railway Café Fieldhouse),Stanley Park - Farmyard Animal Exhibit & concession (Railway Café Fieldhouse),Phase 1,,,,,,,,,,4 - Minimal Investment,City Owned,11083,1980-01,1980,1980,"$475,816","2,716",175,1,0,"Farmyard Animal Exhibit & Concession is understood to have been constructed circa 1980. The building is largely provided with systems and components originating from the initial building construction. Known renewals include:
- The concession area was updated circa1999.","The single-story building appears to be constructed on spread footings. Where exposed, the superstructure appears to be of wood-framed construction.  No significant deficiencies were observed to suggest differential settlement of the building foundations or movement of the building structure.

The building exterior walls are generally comprised of horizontal wood siding on all building elevations. The building windows are typical of a wood-framed single glass unit. The exterior entrance doors are typically wood doors set in wood frames. The sloped roof cover is a cedar shingles roof assembly. Overall, the building envelope components appear to be in fair to good condition.

The interior finishes in the building include painted concrete floor, vinyl floor tiles, painted wall assemblies, and painted ceiling assemblies. The interior finishes appear to be in fair condition overall.",,,,Wood Framed,,,,,,,,,,,,,,,,#N/A,,,,,,,,,,,,,,,,,,Regular,,,,,,99,,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#VALUE!,,,Unknown,,10,Pre-Screen Low,-123.1336418,49.30115579
482,PARK_2152_8705 Angus Drive_Fraser River Park - Washrooms,8705 Angus Drive,,,,,,,,,,Fraser River Park - Washrooms,2 - Moderate Investment,City Owned,2152,1990-01,1990,1990,"$94,252",538,175,1,0,The washrooms were constructed circa 1950. The structure is provided mainly with systems and components originating from the initial building construction.,"The single-storey building constructed on concrete spread footings. The superstructure is wood columns, wood beams and truss roof suspended sloped roof structure with roof sheathing systems. No significant deficiencies were observed to suggest differential settlement of the building foundations or movement of the building structure.

The building exterior walls are generally comprised of exterior wood siding finishes on all elevations .The exit doors are wood solid single-doors which are mounted to wood frames. The roof cover is a metal roofing assembly. Overall, the building envelope components appear to be in fair condition.

The interior finishes in the building include painted concrete floors in fair condition and wood ceiling finish which is in good condition.",,,,Wood Framed,,,,,,,,,,,,,,,,#N/A,,,,,,,,,,,,,,,,,,Regular,,,,,,99,,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#VALUE!,,,Unknown,,10,Pre-Screen Low,-123.1498801,49.20739858
484,PARK_4325_Stanley Park_Stanley Park - Cob House,Stanley Park,,,,,,,,,,Stanley Park - Cob House,5 - No Investment,City Owned,4325,2000-01,2000,1995,"$17,519",100,175,1,0,,,,,,,,,,,,,,,,,,,,,,#N/A,,,,,,,,,,,,,,,,,,Regular,,,,,,99,,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#VALUE!,,,Unknown,,10,Pre-Screen Low,-123.1348173,49.30152221
485,PARK_4325_Stanley Park - Putting Green Cashier Booth,Stanley Park - Putting Green Cashier Booth,,,,,,,,,,,5 - No Investment,City Owned,4325,1970-01,1970,1970,"$41,353",50,827,1,0,Putting Green Cashier Booth is understood to have been constructed circa 1970. The building is largely provided with systems and components originating from the initial building construction.,"The single-story building appears to be constructed on spread footings. Where exposed, the superstructure appears to be of wood framed construction.  No significant deficiencies were observed to suggest differential settlement of the building foundations or movement of the building structure.

The building exterior walls are generally comprised of stone masonry on the building elevations. The building windows are typical of wood-framed single glass units and one sliding insulated glass unit with vinyl frame. The exterior entrance door is typically wood door set in wood frame. The roof cover is a sloped cedar shakes roof assembly. Overall, the building envelope components appear to be in fair to good condition.

The interior finishes in the building include vinyl floor tiles, painted wall assemblies, and painted ceiling assemblies. The interior finishes appear to be in fair condition overall.",,,,Wood Framed,,,,,,,,,,,,,,,,#N/A,,,,,,,,,,,,,,,,,,Regular,,,,,,99,,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#VALUE!,,,Unknown,,10,Pre-Screen Low,-123.1465791,49.29309542
486,NONM_7492_1962 W 1st Av_Coast Foundation Society,1962 W 1st Av,NOT IN SCOPE,,,,,,,,,Coast Foundation Society,9 - CoV Not Responsible,Ground Leased,7492,1961-01,1961,1960,"$3,983,665","11,677",341,2,0,,,,,,"Concrete foundation, wood frame & walls w/ built up tar & gravel roof",,,,,,,,,,,,,,,,#N/A,,,,,,,,,,,,,,,,,,Regular,,,,,,99,,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#VALUE!,,,,,,,-123.1493378,49.2704582
488,RESI_7165_1336 W 11th Av_Rose Court,1336 W 11th Av,Phase 1,,,,,,,,,Rose Court,2 - Moderate Investment,City Owned,7165,1926-01,1926,Pre-code,"$1,941,378","6,792",286,2,1,"The Rose Court building is understood to have been constructed circa 1926. The buildings is largely provided with systems and components originating from the initial building construction. Known renewals include:
- The majority of interior finishes updated circa 1999
- Slope roof replaced circa 2023
- Exterior stucco wall replaced circa 1986","The two-storey building with a basement appears to be constructed on strip footings. Where exposed, the superstructure appears to be of is a combination of a wood frame structure supporting a wood roof deck and truss construction. No significant deficiencies were observed to suggest differential settlement of the building foundations or movement of the building structure.

The building exterior walls are generally comprised of stucco on the building elevations. The building windows are typically of wood framed single glass units. The exterior entrance doors are typically glass doors and wood doors. The slope roof cover is an asphalt shingles roof assembly. The interior finishes in the building include ceramic floor tiles, hardwood flooring, carpet flooring, painted wall assemblies, ceramic wall tiles, painted ceiling assemblies and suspended acoustic tile ceiling assemblies.",,1999,,"Reinforced concrete foundations, wood frame w/asphalt roof",,,,,,,,,,,,,,,,#N/A,,,,,,,,,,,,,,,,,,Regular,,,,,,99,,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#VALUE!,0.4%,,11-100,,2.4,Low,-123.1346947,49.26147334
490,RESI_1181_2090 W 5th Av / 2102-2104 Arbutus St,2090 W 5th Av / 2102-2104 Arbutus St,Phase 1,,,,,,,,,,3 - Limited Investment,City Owned,1181,1910-01,1910,Pre-code,"$1,141,332","3,993",286,2,1,The building was constructed circa 1910. The building was provided mainly with systems and components originating from the initial building construction.,"The two-storey building structure is constructed of stone masonry foundation walls on either spread or strip footings bearing on good native firm soil.

The two-storey the building structural framing system is likely a wood framed structure, where wood framed stud walls support the suspended wood floors and wood roof trusses/rafters suspended sloped roof structure.

The exterior walls consist of wood siding, The exterior windows are wood framed with single glass units and vinyl framed with insulated glass units . The exterior doors are wood doors. 

The interior partitions are painted gypsum wallboard. 

The interior floor finishes include sealed concrete floor, ceramic tile floor, carpet floor and vinyl tile floor finishes. The interior ceiling finish is painted structure and gypsum board. The interior doors are generally single wood doors set in matching wood frames.",B,2005,,Wood Framed,,,,,,,,,,,,,,,,#N/A,,,,,,,,,,,,,,,,,,Regular,,,,,,99,,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#VALUE!,,,Unknown,,10,Pre-Screen Low,-123.1525526,49.26704382
491,RESI_1202_2200 Arbutus St_Arbutus Coffee,2200 Arbutus St,Phase 1,,,,,,,,,Arbutus Coffee,1 - Full Investment,City Owned,1202,1912-01,1912,Pre-code,"$898,373","3,143",286,2,1,"Arbutus coffee is understood to have been constructed circa 1912 and is a registered heritage building. The building is largely provided with systems and components originating from the initial building construction. Known renewals include:
- The majority of interior finishes updated circa 1975
- The roof was replaced circa 2010","The two-story with a basement building appears to be constructed on strip footings. Where exposed, the superstructure appears to be of wood-framed construction.  No significant deficiencies were observed to suggest differential settlement of the building foundations or movement of the building structure.

The building exterior walls are generally comprised of wood siding and wood shingles on all building elevations. The building windows are typical of wood-framed single glass units. The exterior entrance doors are typically glass and wood doors. The roof cover is asphalt shingles roof assembly. Overall, the building envelope components appear to be in poor condition.

The interior finishes in the building include linoleum floor, hardwood flooring, vinyl floor tiles, painted flooring, painted wall assemblies, and painted ceiling assemblies. The interior finishes appear to be in poor condition overall.",A,1950,,Wood Framed,,,,,,,,,,,,,,,,#N/A,,,,,,,,,,,,,,,,,,Regular,,,,,,99,,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#VALUE!,,,Unknown,,10,Pre-Screen Low,-123.1526625,49.26625412
493,RESI_1200_2071-2077 W 6th Av,2071-2077 W 6th Av,Phase 1,,,,,,,,,,3 - Limited Investment,City Owned,1200,1902-01,1902,Pre-code,"$890,084","3,114",286,2,1,The building was constructed circa 1902. The building was provided mainly with systems and components originating from the initial building construction.,"The two-storey building structure is constructed of poured concrete foundation walls on either spread or strip footings bearing on good native firm soil.

The two-storey building structural framing system is likely a wood framed structure, where wood framed stud walls support the suspended wood floors and wood roof trusses/rafters.

The exterior walls consist of wood siding, The exterior windows are wood framed with single glass units and vinyl framed with double-paned glazing units. The exterior doors are wood doors. 

The interior partitions are painted gypsum wallboard. 

The interior floor finishes include painted concrete floor, hardwood, carpet floor, wood laminate and vinyl sheets floor finishes. The interior ceiling finish is painted  gypsum board. The interior doors are generally single wood doors set in matching wood frames.",C,,,Wood frame w/asphalt shingle roof,,,,,,,,,,,,,,,,#N/A,,,,,,,,,,,,,,,,,,Regular,,,,,,99,,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#VALUE!,,,Unknown,,10,Pre-Screen Low,-123.152205,49.2666162
494,RESI_1192_2097 W 6th Av,2097 W 6th Av,Phase 1,,,,,,,,,,4 - Minimal Investment,City Owned,1192,1910-01,1910,Pre-code,"$847,495","2,965",286,2,1,The building was constructed circa 1911. The building was provided mainly with systems and components originating from the initial building construction.,"The two-storey building structure is constructed of poured concrete foundation walls on either spread or strip footings bearing on good native firm soil.
The two-storey building structural framing system is likely a wood framed structure, where wood framed stud walls support the suspended wood floors and wood roof trusses/rafters.

The exterior walls consist of wood siding, The exterior windows are wood framed with single glass units. The exterior doors are wood doors. The interior partitions are painted gypsum wallboard. 

The interior floor finishes include hardwood floor and vinyl sheet / planks floor finishes. The interior ceiling finish is painted  gypsum board. The interior doors are generally single wood doors set in matching wood frames.",,1988,,Wood frame w/tar & gravel roof,,,,,,,,,,,,,,,,#N/A,,,,,,,,,,,,,,,,,,Regular,,,,,,99,,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#VALUE!,,,Unknown,,10,Pre-Screen Low,-123.1526011,49.26656263
495,RESI_1187_2058 W 5th Av,2058 W 5th Av,Phase 1,,,,,,,,,,3 - Limited Investment,City Owned,1187,1908-01,1908,Pre-code,"$842,636","2,948",286,3,1,The building was constructed circa 1908. The building was provided mainly with systems and components originating from the initial building construction.,"The three-storey building structure is constructed of poured concrete foundation walls on either spread or strip footings bearing on good native firm soil.

The three-storey building structural framing system is likely a wood framed structure, where wood framed stud walls support the suspended wood floors and wood roof trusses/rafters.

The exterior walls consist of wood siding, The exterior windows are wood framed with single glass units. The exterior doors are wood doors. 

The interior partitions are painted gypsum wallboard. 

The interior floor finishes include sealed concrete floor, carpet and vinyl sheet floor finishes. The interior ceiling finish is painted  gypsum board and adhered acoustic tiles. The interior doors are generally single wood doors set in matching wood frames.",C,2005,,Wood frame w/asphalt shingle roof,,,,,,,,,,,,,,,,#N/A,,,,,,,,,,,,,,,,,,Regular,,,,,,99,,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#VALUE!,,,Unknown,,10,Pre-Screen Low,-123.1517894,49.26703495
496,RESI_1197_2055 W 6th Av,2055 W 6th Av,Phase 1,,,,,,,,,,4 - Minimal Investment,City Owned,1197,1912-01,1912,Pre-code,"$836,919","2,928",286,2,1,The building was constructed circa 1912. The building was provided mainly with systems and components originating from the initial building construction.,"The two-storey building structure is constructed of poured concrete foundation walls on either spread or strip footings bearing on good native firm soil.

The two-storey building structural framing system is likely a wood framed structure, where wood framed stud walls support the suspended wood floors and wood roof trusses/rafters.

The exterior walls consist of wood siding, The exterior windows are wood framed with single glass units. The exterior doors are wood doors. 

The interior partitions are painted gypsum wallboard. 

The interior floor finishes include hardwood, sealed concrete floor, carpet floor, wood laminated  and vinyl sheet floor finishes. The interior ceiling finish is painted  gypsum board. The interior doors are generally single wood doors set in matching wood frames.",,2004,,Wood frame w/asphalt shingle roof,,,,,,,,,,,,,,,,#N/A,,,,,,,,,,,,,,,,,,Regular,,,,,,99,,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#VALUE!,,,Unknown,,10,Pre-Screen Low,-123.1517657,49.26661007
497,RESI_1205_2068 W 6th Av,2068 W 6th Av,Phase 1,,,,,,,,,,3 - Limited Investment,City Owned,1205,1908-01,1908,Pre-code,"$824,057","2,883",286,3,1,The building was constructed circa 1908. The building was provided mainly with systems and components originating from the initial building construction.,"The three-storey building structure is constructed of poured concrete foundation walls on either spread or strip footings bearing on good native firm soil.

The three-storey building structural framing system is likely a wood framed structure, where wood framed stud walls support the suspended wood floors and wood roof trusses/rafters.

The exterior walls consist of wood siding, The exterior windows are wood framed with single glass units. The exterior doors are wood doors. 

The interior partitions are painted gypsum wallboard. 

The interior floor finishes include painted concrete floor, painted hardwood, carpet floor and vinyl tile floor finishes. The interior ceiling finish is painted  gypsum board. The interior doors are generally single wood doors set in matching wood frames.",C,2005,,Wood frame w/asphalt shingle roof,,,,,,,,,,,,,,,,#N/A,,,,,,,,,,,,,,,,,,Regular,,,,,,99,,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#VALUE!,,,Unknown,,10,Pre-Screen Low,-123.1520121,49.26620438
498,RESI_1191_2032 W 5th Av,2032 W 5th Av,Phase 1,,,,,,,,,,3 - Limited Investment,City Owned,1191,1910-01,1910,Pre-code,"$810,909","2,837",286,3,1,The building was constructed circa 1910. The building was provided mainly with systems and components originating from the initial building construction.,"The three-storey building structure is constructed of poured concrete foundation walls on either spread or strip footings bearing on good native firm soil.

The three-storey building structural framing system is likely a wood framed structure, where wood framed stud walls support the suspended wood floors and wood roof trusses/rafters.

The exterior walls consist of wood siding, The exterior windows are wood framed with single glass units. The exterior doors are wood doors. 

The interior partitions are painted gypsum wallboard. 

The interior floor finishes include sealed concrete floor, hardwood,  carpet floor and vinyl planks floor finishes. The interior ceiling finish is painted  gypsum board. The interior doors are generally single wood doors set in matching wood frames.",C,2005,,Wood frame w/asphalt shingle roof,,,,,,,,,,,,,,,,#N/A,,,,,,,,,,,,,,,,,,Regular,,,,,,99,,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#VALUE!,,,Unknown,,10,Pre-Screen Low,-123.1512328,49.26704936
499,RESI_1193_2020 W 5th Av,2020 W 5th Av,Phase 1,,,,,,,,,,4 - Minimal Investment,City Owned,1193,1908-01,1908,Pre-code,"$798,618","2,794",286,2,1,The building was constructed circa 1911. The building was provided mainly with systems and components originating from the initial building construction.,"The two-storey building structure is constructed of poured concrete foundation walls on either spread or strip footings bearing on good native firm soil.

The two-storey building structural framing system is likely a wood framed structure, where wood framed stud walls support the suspended wood floors and wood roof trusses/rafters.

The exterior walls consist of wood siding, The exterior windows are wood framed with single glass units. The exterior doors are wood doors. 

The interior partitions are painted gypsum wallboard. 

The interior floor finishes include hardwood,  sealed concrete floor, carpet floor and vinyl sheet / tiles floor finishes. The interior ceiling finish is acoustic adhered tiles and painted  gypsum board. The interior doors are generally single wood doors set in matching wood frames.",,2005,,Frame w/asphalt,,,,,,,,,,,,,,,,#N/A,,,,,,,,,,,,,,,,,,Regular,,,,,,99,,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#VALUE!,,,Unknown,,10,Pre-Screen Low,-123.1511078,49.26701811
500,RESI_1201_2085 W 6th Av,2085 W 6th Av,Phase 1,,,,,,,,,,3 - Limited Investment,City Owned,1201,1908-01,1908,Pre-code,"$793,473","2,776",286,2,1,The building was constructed circa 1910. The building was provided mainly with systems and components originating from the initial building construction.,"The two-storey building structure is constructed of stone masonry foundation walls on either spread or strip footings bearing on good native firm soil.

The two-storey the building structural framing system is likely a wood framed structure, where wood framed stud walls support the suspended wood floors and wood roof trusses/rafters suspended sloped roof structure.

The exterior walls consist of wood siding, The exterior windows are wood framed with single glass units and vinyl framed with insulated glass units . The exterior doors are wood doors. 

The interior partitions are painted gypsum wallboard. 

The interior floor finishes include sealed concrete floor, hardwood, carpet and vinyl sheet floor finishes. The interior ceiling finish is painted structure and gypsum board. The interior doors are generally single wood doors set in matching wood frames.",B,1988,,Wood frame w/asphalt shingle roof,,,,,,,,,,,,,,,,#N/A,,,,,,,,,,,,,,,,,,Regular,,,,,,99,,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#VALUE!,,F - Single Family,Unknown,,10,Pre-Screen Low,-123.1523546,49.26664655
502,RESI_1203_2084 W 6th Av,2084 W 6th Av,Phase 1,,,,,,,,,,4 - Minimal Investment,City Owned,1203,1920-01,1920,Pre-code,"$783,183","2,740",286,2,1,The building was constructed circa 1920. The building was provided mainly with systems and components originating from the initial building construction.,"The two-storey building structure is constructed of poured concrete foundation walls on either spread or strip footings bearing on good native firm soil.

The two-storey building structural framing system is likely a wood framed structure, where wood framed stud walls support the suspended wood floors and wood roof trusses/rafters.

The exterior walls consist of wood siding, The exterior windows are wood framed with single glass units. The exterior doors are wood doors. 

The interior partitions are painted gypsum wallboard. 

The interior floor finishes include sealed concrete floor, hardwood and vinyl sheet / planks floor finishes. The interior ceiling finish is painted  gypsum board. The interior doors are generally single wood doors set in matching wood frames.",,,,Wood frame,,,,,,,,,,,,,,,,#N/A,,,,,,,,,,,,,,,,,,Regular,,,,,,99,,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#VALUE!,,,Unknown,,10,Pre-Screen Low,-123.1524462,49.26621175
503,RESI_1190_2038 W 5th Av,2038 W 5th Av,Phase 1,,,,,,,,,,3 - Limited Investment,City Owned,1190,1910-01,1910,Pre-code,"$738,021","2,582",286,3,1,The building was constructed circa 1910. The building was provided mainly with systems and components originating from the initial building construction.,"The three-storey building structure is constructed of poured concrete foundation walls on either spread or strip footings bearing on good native firm soil.

The three-storey building structural framing system is likely a wood framed structure, where wood framed stud walls support the suspended wood floors and wood roof trusses/rafters.

The exterior walls consist of wood siding, The exterior windows are wood framed with single glass units. The exterior doors are wood doors. 

The interior partitions are painted gypsum wallboard. 

The interior floor finishes include sealed concrete floor, carpet floor and vinyl planks floor finishes. The interior ceiling finish is painted  gypsum board. The interior doors are generally single wood doors set in matching wood frames.",C,1995,,Wood frame w/asphalt shingle roof,,,,,,,,,,,,,,,,#N/A,,,,,,,,,,,,,,,,,,Regular,,,,,,99,,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#VALUE!,,,Unknown,,10,Pre-Screen Low,-123.1513676,49.26703986
507,RESI_1184_2078 W 5th Av,2078 W 5th Av,Phase 1,,,,,,,,,,3 - Limited Investment,City Owned,1184,1912-01,1912,Pre-code,"$720,014","2,519",286,3,1,The building was constructed circa 1912. The building was provided mainly with systems and components originating from the initial building construction.,"The three-storey building structure is constructed of of of stone masonry foundation walls on either spread or strip footings bearing on good native firm soil.

The three-storey the building structural framing system is likely a wood framed structure, where wood framed stud walls support the suspended wood floors and wood roof trusses/rafters.

The exterior walls consist of wood siding, The exterior windows are wood framed with single glass units. The exterior doors are wood doors. 

The interior partitions are painted gypsum wallboard. 

The interior floor finishes include sealed concrete floor, carpet floor and vinyl sheet floor finishes. The interior ceiling finish is painted structure and gypsum board. The interior doors are generally single wood doors set in matching wood frames.",C,2005,,Wood frame w/asphalt shingle roof,,,,,,,,,,,,,,,,#N/A,,,,,,,,,,,,,,,,,,Regular,,,,,,99,,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#VALUE!,,,Unknown,,10,Pre-Screen Low,-123.1522,49.26704808
508,RESI_1204_2078 W 6th Av,2078 W 6th Av,Phase 1,,,,,,,,,,3 - Limited Investment,City Owned,1204,1908-01,1908,Pre-code,"$616,256","2,156",286,2,1,The building was constructed circa 1908. The building was provided mainly with systems and components originating from the initial building construction.,"The two-storey building structure is constructed of poured concrete foundation walls on either spread or strip footings bearing on good native firm soil.

The two-storey building structural framing system is likely a wood framed structure, where wood framed stud walls support the suspended wood floors and wood roof trusses/rafters.

The exterior walls consist of asphalt shingle siding, The exterior windows are wood and vinyl framed with single and double-paned glazing units. The exterior doors are wood doors. 

The interior partitions are painted gypsum wallboard. 

The interior floor finishes include hardwood floor, carpet floor and vinyl sheet / tiles floor finishes. The interior ceiling finish is painted  gypsum board. The interior doors are generally single wood doors set in matching wood frames.",C,,,Wood frame w/asphalt shingle roof,,,,,,,,,,,,,,,,#N/A,,,,,,,,,,,,,,,,,,Regular,,,,,,99,,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#VALUE!,,,Unknown,,10,Pre-Screen Low,-123.152218,49.26620476
509,RESI_1189_2044 W 5th Av,2044 W 5th Av,Phase 1,,,,,,,,,,4 - Minimal Investment,City Owned,1189,1905-01,1905,Pre-code,"$615,399","2,153",286,2,1,The building was constructed circa 1905. The building was provided mainly with systems and components originating from the initial building construction.,"The two-storey building structure is constructed of poured concrete foundation walls on either spread or strip footings bearing on good native firm soil.

The two-storey building structural framing system is likely a wood framed structure, where wood framed stud walls support the suspended wood floors and wood roof trusses/rafters.

The exterior walls consist of stucco and wood siding, The exterior windows are wood framed with single glass units. The exterior doors are wood doors. 

The interior partitions are painted gypsum wallboard. 

The interior floor finishes include sealed concrete floor, hardwood floor and vinyl tiles floor finishes. The interior ceiling finish is painted  gypsum board. The interior doors are generally single wood doors set in matching wood frames.",,2005,,Wood Framed,,,,,,,,,,,,,,,,#N/A,,,,,,,,,,,,,,,,,,Regular,,,,,,99,,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#VALUE!,,,Unknown,,10,Pre-Screen Low,-123.1514976,49.26704936
